"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18045","Movie page loads successfully","WebKit","2026-05-28","failed","2026-05-28","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","10461","suggestion search","WebKit","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","3375","IMDb Top 250 movie posters load correctly","Firefox","2026-05-28","failed","2026-05-28","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","9257","play trailer","Firefox","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","17086","watchlist","Firefox","2026-05-29","failed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","92925","Ranking order starts from 1","WebKit","2026-05-28","failed","2026-05-28","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","7022","Sign in","Chromium","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","91002","Born today page navigation","Firefox","2026-05-29","broken","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","8221","imdb pro","Chromium","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","91039","In theaters navigation","Firefox","2026-05-29","broken","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","5570","Showtimes button is clickable","WebKit","2026-05-26","passed","2026-05-26","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","15582","Mobile apps","Firefox","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","15476","play trailer","WebKit","2026-05-29","failed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","2682","Movie titles are unique and not empty","WebKit","2026-05-28","failed","2026-05-28","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","23087","movie posters load correctly","Firefox","2026-05-28","failed","2026-05-28","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","90395","In theaters navigation","Chromium","2026-05-29","broken","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","33515","test","WebKit","2026-05-28","failed","2026-05-28","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","6836","suggestion search","Chromium","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","90953","test","Firefox","2026-05-29","broken","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","13407","Showtimes section is available on page or redirect exists","Chromium","2026-05-28","passed","2026-05-28","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","8061","suggestion search","Firefox","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","13349","movie posters load correctly","Chromium","2026-05-28","failed","2026-05-28","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","34265","movie posters load correctly","WebKit","2026-05-28","failed","2026-05-28","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","87653","Ranking order starts from 1","Firefox","2026-05-28","failed","2026-05-28","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","11998","test","Chromium","2026-05-28","failed","2026-05-28","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","8557","Sign in","Firefox","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","33677","summer watch guide","WebKit","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","15703","language selection","WebKit","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","11542","language selection","Firefox","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","90720","Top 10 on IMDb this week","Chromium","2026-05-29","broken","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","18445","most popular celebrities","Chromium","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","13098","imdb pro","Firefox","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","5604","open navigation drawer","Chromium","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","12196","language selection","Chromium","2026-05-29","failed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","90724","fan favorites","Chromium","2026-05-29","broken","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","5523","Showtimes button is clickable","Chromium","2026-05-26","passed","2026-05-26","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","5944","open navigation drawer","Firefox","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","105678","open navigation drawer","WebKit","2026-05-29","broken","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","7830","play trailer","Chromium","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","18132","Showtimes section is available on page or redirect exists","WebKit","2026-05-28","passed","2026-05-28","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","9016","Movie page loads successfully","Firefox","2026-05-28","failed","2026-05-28","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","16973","Movie page loads successfully","Chromium","2026-05-28","failed","2026-05-28","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","90625","test","Chromium","2026-05-29","broken","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","90931","Top 10 on IMDb this week","Firefox","2026-05-29","broken","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","2094","Movie titles are unique and not empty","Chromium","2026-05-28","failed","2026-05-28","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","11452","watchlist","Chromium","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","2957","IMDb Top 250 movie posters load correctly","WebKit","2026-05-28","failed","2026-05-28","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","12535","watchlist","WebKit","2026-05-29","failed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","17694","Showtimes section is available on page or redirect exists","Firefox","2026-05-28","passed","2026-05-28","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","2421","IMDb Top 250 movie posters load correctly","Chromium","2026-05-28","failed","2026-05-28","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
